#Serial	Status
1	WP_016096720.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000398965.1
2	WP_101355389.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002844575.1
3	WP_035413113.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000732485.2
4	WP_245528904.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000023105.1
5	WP_045301335.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000956465.1
6	WP_056208227.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001423825.1
7	WP_100345695.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002797855.1
8	WP_267181742.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026410545.1
9	WP_167151641.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_011758565.1
10	WP_083837032.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025268675.1
11	WP_240641500.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003660455.1
12	WP_236749705.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_937127145.1
13	WP_151200852.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001542775.1
14	WP_121687501.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003667575.1
15	WP_227577315.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020686105.1
16	WP_284301928.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030161875.1
17	WP_255513414.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008017545.1
18	WP_230081421.1 Failed :  No record for accession WP_230081421.1
19	WP_137067104.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006007965.1
20	WP_237111519.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014108865.1
21	WP_243696293.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003850045.1
22	WP_064079680.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022179365.1
23	WP_241975298.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004402205.1
24	WP_104194620.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002929635.1
25	WP_279876181.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029846275.1
26	WP_082003896.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_082003896.1 in Assembly ID GCA_022359185.1
27	WP_245908468.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003002065.1
28	WP_159923964.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_033101215.1
29	WP_066584012.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900046455.1
30	WP_188613425.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014643595.1
31	WP_239422105.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003184905.1
32	WP_130858838.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900086715.1
33	WP_188383944.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014637405.1
34	WP_017812240.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000971985.1
35	WP_051254763.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000425705.1
36	WP_221638547.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014223865.1
37	WP_207148376.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017314065.1
38	WP_184307798.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014205875.1
39	WP_058304638.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902375625.1
40	WP_090981501.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900106745.1
41	WP_112181851.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003426095.1
42	WP_133578890.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004363045.1
43	WP_242232273.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022668875.1
44	WP_251426264.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023715265.1
45	WP_245751662.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900110345.1
46	WP_138226658.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005577435.1
47	WP_286299705.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030296555.1
48	WP_283457891.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030063185.1
49	WP_118751620.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003480545.1
50	WP_288180665.1 Failed :  No record for accession WP_288180665.1
51	WP_022749770.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000622065.1
52	WP_209658580.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017874355.1
53	WP_035313603.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000525915.1
54	WP_176277061.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026792615.1
55	WP_235827478.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002969215.1
56	WP_105958206.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002993335.1
57	WP_134259764.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004375095.1
58	WP_204697947.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016908595.1
59	WP_094426939.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002272655.1
60	WP_101577899.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002860245.1
61	WP_142118881.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006716265.1
62	WP_144759480.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007713735.2
63	WP_205749909.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004745485.1
64	WP_018154923.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000376825.1
65	WP_102597326.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002878675.1
66	WP_286217477.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030296575.1
67	WP_233251483.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004786095.1
68	WP_246013137.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004306155.1
69	WP_075741999.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001941625.1
70	WP_114126492.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003327535.1
71	WP_281257461.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001921215.1
72	WP_235006455.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900143625.1
73	WP_121440116.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003814815.1
74	WP_227468015.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015024225.1
75	WP_096164962.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003335305.1
76	WP_187720949.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014489575.1
77	WP_261622914.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025420485.1
78	WP_239203679.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022346485.1
79	WP_273400640.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_944324785.1
80	WP_129043441.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004117015.1
81	WP_110098957.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003185725.2
82	WP_281095400.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029914245.1
83	WP_234925792.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017873235.1
84	WP_245608598.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000585395.1
85	WP_283926976.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030122845.1
86	WP_037331874.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000710755.1
87	WP_223839839.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014697215.1
88	WP_150222198.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008689955.1
89	WP_057867692.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001438825.1
90	WP_041092202.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000829395.1
91	WP_155430821.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009720675.1
92	WP_083483216.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001434575.1
93	WP_124977423.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003864415.1
94	WP_040535999.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000469325.1
95	WP_268913336.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026913205.1
96	WP_249512253.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023380245.1
97	WP_148206776.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000010045.1
98	WP_249029258.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021054785.1
99	WP_253287600.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018918145.1
100	WP_240649002.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004006535.1
101	WP_037559438.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025558325.1
102	WP_110160910.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003185485.1
103	WP_095300379.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002273165.1
104	WP_235253833.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_235253833.1 in Assembly ID GCA_021531315.1
105	WP_289027456.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_948468195.1
106	WP_006293246.1 Failed :  No record for accession WP_006293246.1
107	WP_281500616.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023016205.1
108	WP_280924686.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029433335.1
109	WP_018213019.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000378805.1
110	WP_209290136.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017776275.1
111	WP_216469476.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018918345.1
112	WP_029409241.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000465055.1
113	WP_029409564.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000465095.1
114	WP_074685722.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900106815.1
115	WP_118511548.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009707925.1
116	WP_132091038.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024622585.1
117	WP_022738909.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003428235.1
118	WP_257447026.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024622765.1
119	WP_155998532.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000703105.1
