#Serial	Query	Assembly_Found	FlankingGene_Found
1	WP_016096720.1	Yes	Yes
2	WP_101355389.1	Yes	Yes
3	WP_035413113.1	Yes	Yes
4	WP_245528904.1	Yes	Yes
5	WP_045301335.1	Yes	Yes
6	WP_056208227.1	Yes	Yes
7	WP_100345695.1	Yes	Yes
8	WP_267181742.1	Yes	Yes
9	WP_167151641.1	Yes	Yes
10	WP_083837032.1	Yes	Yes
11	WP_240641500.1	Yes	Yes
12	WP_236749705.1	Yes	Yes
13	WP_151200852.1	Yes	Yes
14	WP_121687501.1	Yes	Yes
15	WP_227577315.1	Yes	Yes
16	WP_284301928.1	Yes	Yes
17	WP_255513414.1	Yes	Yes
18	WP_137067104.1	Yes	Yes
19	WP_237111519.1	Yes	Yes
20	WP_243696293.1	Yes	Yes
21	WP_064079680.1	Yes	Yes
22	WP_241975298.1	Yes	Yes
23	WP_104194620.1	Yes	Yes
24	WP_279876181.1	Yes	Yes
25	WP_082003896.1	No: ProteinID was not found in Genome Assembly	No
26	WP_245908468.1	Yes	Yes
27	WP_159923964.1	Yes	Yes
28	WP_066584012.1	Yes	Yes
29	WP_188613425.1	Yes	Yes
30	WP_239422105.1	Yes	Yes
31	WP_130858838.1	Yes	Yes
32	WP_188383944.1	Yes	Yes
33	WP_017812240.1	Yes	Yes
34	WP_051254763.1	Yes	Yes
35	WP_221638547.1	Yes	Yes
36	WP_207148376.1	Yes	Yes
37	WP_184307798.1	Yes	Yes
38	WP_058304638.1	Yes	Yes
39	WP_090981501.1	Yes	Yes
40	WP_112181851.1	Yes	Yes
41	WP_133578890.1	Yes	Yes
42	WP_242232273.1	Yes	Yes
43	WP_251426264.1	Yes	Yes
44	WP_245751662.1	Yes	Yes
45	WP_138226658.1	Yes	Yes
46	WP_286299705.1	Yes	Yes
47	WP_283457891.1	Yes	Yes
48	WP_118751620.1	Yes	Yes
49	WP_022749770.1	Yes	Yes
50	WP_209658580.1	Yes	Yes
51	WP_035313603.1	Yes	Yes
52	WP_176277061.1	Yes	Yes
53	WP_235827478.1	Yes	Yes
54	WP_105958206.1	Yes	Yes
55	WP_134259764.1	Yes	Yes
56	WP_204697947.1	Yes	Yes
57	WP_094426939.1	Yes	Yes
58	WP_101577899.1	Yes	Yes
59	WP_142118881.1	Yes	Yes
60	WP_144759480.1	Yes	Yes
61	WP_205749909.1	Yes	Yes
62	WP_018154923.1	Yes	Yes
63	WP_102597326.1	Yes	Yes
64	WP_286217477.1	Yes	Yes
65	WP_233251483.1	Yes	Yes
66	WP_246013137.1	Yes	Yes
67	WP_075741999.1	Yes	Yes
68	WP_114126492.1	Yes	Yes
69	WP_281257461.1	Yes	Yes
70	WP_235006455.1	Yes	Yes
71	WP_121440116.1	Yes	Yes
72	WP_227468015.1	Yes	Yes
73	WP_096164962.1	Yes	Yes
74	WP_187720949.1	Yes	Yes
75	WP_261622914.1	Yes	Yes
76	WP_239203679.1	Yes	Yes
77	WP_273400640.1	Yes	Yes
78	WP_129043441.1	Yes	Yes
79	WP_110098957.1	Yes	Yes
80	WP_281095400.1	Yes	Yes
81	WP_234925792.1	Yes	Yes
82	WP_245608598.1	Yes	Yes
83	WP_283926976.1	Yes	Yes
84	WP_037331874.1	Yes	Yes
85	WP_223839839.1	Yes	Yes
86	WP_150222198.1	Yes	Yes
87	WP_057867692.1	Yes	Yes
88	WP_041092202.1	Yes	Yes
89	WP_155430821.1	Yes	Yes
90	WP_083483216.1	Yes	Yes
91	WP_124977423.1	Yes	Yes
92	WP_040535999.1	Yes	Yes
93	WP_268913336.1	Yes	Yes
94	WP_249512253.1	Yes	Yes
95	WP_148206776.1	Yes	Yes
96	WP_249029258.1	Yes	Yes
97	WP_253287600.1	Yes	Yes
98	WP_240649002.1	Yes	Yes
99	WP_037559438.1	Yes	Yes
100	WP_110160910.1	Yes	Yes
101	WP_095300379.1	Yes	Yes
102	WP_235253833.1	No: ProteinID was not found in Genome Assembly	No
103	WP_289027456.1	Yes	Yes
104	WP_281500616.1	Yes	Yes
105	WP_280924686.1	Yes	Yes
106	WP_018213019.1	Yes	Yes
107	WP_209290136.1	Yes	Yes
108	WP_216469476.1	Yes	Yes
109	WP_029409241.1	Yes	Yes
110	WP_029409564.1	Yes	Yes
111	WP_074685722.1	Yes	Yes
112	WP_118511548.1	Yes	Yes
113	WP_132091038.1	Yes	Yes
114	WP_022738909.1	Yes	Yes
115	WP_257447026.1	Yes	Yes
116	WP_155998532.1	Yes	Yes
117	WP_151142946.1	Yes	Yes
118	WP_090162090.1	Yes	Yes
119	WP_008395116.1	Yes	Yes
120	WP_246599136.1	Yes	Yes
121	WP_274952664.1	Yes	Yes
122	WP_262096330.1	Yes	Yes
123	WP_009526431.1	Yes	Yes
124	WP_072991495.1	Yes	Yes
125	WP_237966572.1	Yes	Yes
126	WP_199825326.1	Yes	Yes
127	WP_215756544.1	Yes	Yes
128	WP_088109653.1	Yes	Yes
129	WP_287777058.1	Yes	Yes
130	WP_161636936.1	Yes	Yes
131	WP_186969066.1	Yes	Yes
132	WP_246462629.1	Yes	Yes
133	WP_006597928.1	Yes	Yes
134	WP_004075326.1	Yes	Yes
135	WP_283682651.1	Yes	Yes
136	WP_243873694.1	Yes	Yes
137	WP_036089558.1	Yes	Yes
138	WP_075671842.1	Yes	Yes
139	WP_091757063.1	Yes	Yes
140	WP_003147803.1	Yes	Yes
141	WP_288866699.1	Yes	Yes
142	WP_009644068.1	Yes	Yes
143	WP_083377371.1	Yes	Yes
144	WP_226384608.1	Yes	Yes
145	WP_239256881.1	Yes	Yes
146	WP_006590792.1	Yes	Yes
147	WP_227621486.1	Yes	Yes
148	WP_287882951.1	Yes	Yes
149	WP_270368336.1	Yes	Yes
150	WP_238014864.1	Yes	Yes
151	WP_269185466.1	Yes	Yes
152	WP_061225149.1	Yes	Yes
153	WP_208963719.1	Yes	Yes
154	WP_056996560.1	Yes	Yes
155	WP_024747486.1	Yes	Yes
156	WP_225426205.1	Yes	Yes
157	WP_225350017.1	Yes	Yes
158	WP_024971414.1	Yes	Yes
159	WP_082620538.1	Yes	Yes
160	WP_242871932.1	Yes	Yes
161	WP_117834666.1	Yes	Yes
162	WP_216459701.1	Yes	Yes
163	WP_009002034.1	Yes	Yes
164	WP_059070334.1	Yes	Yes
165	WP_242939766.1	Yes	Yes
166	WP_025491176.1	Yes	Yes
167	WP_276989172.1	Yes	Yes
168	WP_173552971.1	Yes	Yes
169	WP_074624343.1	Yes	Yes
170	WP_251547697.1	Yes	Yes
171	WP_244569119.1	Yes	Yes
172	WP_062411613.1	Yes	Yes
173	WP_075572802.1	Yes	Yes
174	WP_062708044.1	Yes	Yes
175	WP_288977052.1	Yes	Yes
176	WP_086107199.1	Yes	Yes
177	WP_242935049.1	Yes	Yes
178	WP_201427582.1	Yes	Yes
179	WP_277682706.1	Yes	Yes
180	WP_276962410.1	Yes	Yes
181	WP_235815004.1	Yes	Yes
182	WP_118507861.1	Yes	Yes
183	WP_027296015.1	Yes	Yes
184	WP_044971499.1	Yes	Yes
185	WP_016323285.1	Yes	Yes
186	WP_273392962.1	Yes	Yes
187	WP_277255248.1	Yes	Yes
188	WP_118348380.1	Yes	Yes
189	WP_215703155.1	Yes	Yes
190	WP_216436165.1	Yes	Yes
191	WP_231935361.1	Yes	Yes
192	WP_150332876.1	Yes	Yes
193	WP_129065100.1	Yes	Yes
194	WP_052127239.1	Yes	Yes
195	WP_074036489.1	Yes	Yes
196	WP_017144049.1	Yes	Yes
197	WP_002703980.1	Yes	Yes
198	WP_086349984.1	Yes	Yes
199	WP_092367973.1	Yes	Yes
200	WP_148463591.1	Yes	Yes
201	WP_205149971.1	Yes	Yes
202	WP_077609847.1	Yes	Yes
203	WP_092454252.1	Yes	Yes
